,Epsilon [-],PSC [Mt],DAC [Mt],BAU [Mt],Electricity [TWh]
0,0,0,0,100,0
1,0.05,1.321938039,0,99.38622829,10.50265723
2,0.1,2.623053046,0,98.08530282,21.02786939
3,0.15,3.924156906,0,96.78438894,31.55316656
4,0.2,5.225252137,0,95.48348386,42.07846448
5,0.25,6.526347202,0,94.18257894,52.60376257
6,0.3,7.827442269,0,92.88167403,63.12906066
7,0.35,9.128537308,0,91.58076914,73.65435878
8,0.4,10.42963212,0,90.27986449,84.17965713
9,0.45,11.73073817,0,88.97894854,94.70501523
10,0.5,13.03184497,0,87.67803184,105.2303773
11,0.55,14.33295007,0,86.37711686,115.7557439
12,0.6,15.63405491,0,85.07620215,126.2811112
13,0.65,16.93515974,0,83.77528743,136.8064784
14,0.7,18.23626458,0,82.47437271,147.3318457
15,0.75,19.53736942,0,81.17345799,157.857213
16,0.8,20.83847425,0,79.87254327,168.3825802
17,0.85,22.13957909,0,78.57162855,178.9079475
18,0.9,23.44068393,0,77.27071384,189.4333148
19,0.95,24.74178877,0,75.96979912,199.958682
20,1,26.0428936,0,74.6688844,210.4840493
21,1.05,27.34399844,0,73.36796968,221.0094166
22,1.1,28.64510328,0,72.06705496,231.5347838
23,1.15,29.94620812,0,70.76614024,242.0601511
24,1.2,31.24731296,0,69.46522552,252.5855184
25,1.25,32.54841779,0,68.16431081,263.1108856
26,1.3,33.84952263,0,66.86339609,273.6362529
27,1.35,35.15062747,0,65.56248137,284.1616202
28,1.4,36.4517323,0,64.26156665,294.6869874
29,1.45,37.75283714,0,62.96065194,305.2123547
30,1.5,39.05394198,0,61.65973722,315.737722
31,1.55,40.35504759,0,60.35882171,326.2630589
32,1.6,41.65615165,0,59.05790778,336.7884566
33,1.65,42.95725385,0,57.75699573,347.3138311
34,1.7,44.25835956,0,56.45608017,357.8392368
35,1.75,45.55947623,0,55.15515365,368.3646373
36,1.8,46.86059747,0,53.85422257,378.8900281
37,1.85,48.1617187,0,52.55329148,389.4154189
38,1.9,49.46283994,0,51.2523604,399.9408097
39,1.95,50.76396117,0,49.95142931,410.4662005
40,2,52.06508241,0,48.65049823,420.9915913
41,2.05,53.36620365,0,47.34956714,431.5169821
42,2.1,54.66732488,0,46.04863606,442.0423729
43,2.15,55.96844612,0,44.74770497,452.5677637
44,2.2,57.26956735,0,43.44677389,463.0931545
45,2.25,58.57068859,0,42.1458428,473.6185453
46,2.3,59.87180983,0,40.84491172,484.1439361
47,2.35,61.17293106,0,39.54398063,494.6693269
48,2.4,62.4740523,0,38.24304955,505.1947177
49,2.45,63.77517353,0,36.94211846,515.7201085
50,2.5,65.07629477,0,35.64118738,526.2454993
51,10,93.35964517,7.362722592,0,840.264314
