,Epsilon [-],PSC [Mt],DAC [Mt],BAU [Mt],Electricity [TWh]
0,0,0,0,100,0
1,0.05,2.154151429,0.463640392,98.50507717,22.00412089
2,0.1,4.03117099,1.135393973,95.95688236,44.00824178
3,0.15,5.908190551,1.807147554,93.40868755,66.01236267
4,0.2,7.785210112,2.478901136,90.86049274,88.01648356
5,0.25,9.662229673,3.150654717,88.31229793,110.0206044
6,0.3,11.53924923,3.822408298,85.76410312,132.0247253
7,0.35,13.4162688,4.49416188,83.21590831,154.0288462
8,0.4,15.29328836,5.165915461,80.6677135,176.0329671
9,0.45,17.17030792,5.837669042,78.11951869,198.037088
10,0.5,19.04732748,6.509422623,75.57132388,220.0412089
11,0.55,20.92434704,7.181176205,73.02312907,242.0453298
12,0.6,22.8013666,7.852929786,70.47493426,264.0494507
13,0.65,24.67838616,8.524683367,67.92673945,286.0535716
14,0.7,26.55540572,9.196436949,65.37854464,308.0576924
15,0.75,28.43242528,9.86819053,62.83034983,330.0618133
16,0.8,30.30944485,10.53994411,60.28215502,352.0659342
17,0.85,32.18646441,11.21169769,57.73396021,374.0700551
18,0.9,34.06348397,11.88345127,55.1857654,396.074176
19,0.95,35.94050353,12.55520486,52.63757059,418.0782969
20,1,37.81752309,13.22695844,50.08937579,440.0824178
21,1.05,39.69454265,13.89871202,47.54118098,462.0865387
22,1.1,41.57156221,14.5704656,44.99298617,484.0906596
23,1.15,43.44858177,15.24221918,42.44479136,506.0947804
24,1.2,45.32560133,15.91397276,39.89659655,528.0989013
25,1.25,47.20262089,16.58572634,37.34840174,550.1030222
26,1.3,49.07964045,17.25747992,34.80020693,572.1071431
27,1.35,50.95666001,17.92923351,32.25201212,594.111264
28,1.4,52.83367958,18.60098709,29.70381731,616.1153849
29,1.45,54.71069914,19.27274067,27.1556225,638.1195058
30,1.5,56.5877187,19.94449425,24.60742769,660.1236267
31,1.55,58.46473826,20.61624783,22.05923288,682.1277476
32,1.6,60.34175782,21.28800141,19.51103807,704.1318684
33,1.65,62.21877738,21.95975499,16.96284326,726.1359893
34,1.7,64.09579694,22.63150857,14.41464845,748.1401102
35,1.75,65.9728165,23.30326216,11.86645364,770.1442311
36,1.8,67.7912331,24.02333389,9.328543594,792.148352
37,1.85,69.28307957,25.01266275,6.84794626,814.1524729
38,1.9,70.77492603,26.00199161,4.367348925,836.1565938
39,1.95,72.26677319,26.99132089,1.886750472,858.1607147
40,2,73.15365262,27.99166762,0,875.5484524
41,2.05,72.10934418,29.03612729,0,878.2826953
42,2.1,70.97711709,30.16850865,0,881.146361
43,2.15,69.84489,31.30089001,0,884.0100267
44,2.2,68.71266292,32.43327137,0,886.8736923
45,2.25,67.58043583,33.56565273,0,889.737358
46,2.3,66.44820874,34.69803409,0,892.6010237
47,2.35,65.31598165,35.83041545,0,895.4646893
48,2.4,64.18375457,36.96279681,0,898.328355
49,2.45,63.05152748,38.09517817,0,901.1920207
50,2.5,61.91930039,39.22755953,0,904.0556863
51,10,36.19817027,64.95211085,0,901.2511974
