,Epsilon [-],PSC [Mt],DAC [Mt],BAU [Mt],Electricity [TWh]
0,0,0,0,100,0
1,0.05,1.965046091,0.93865453,98.87239926,25.14014079
2,0.1,3.663277583,2.077176865,96.03656582,50.28028158
3,0.15,5.335666023,3.237192896,93.20508197,75.42042237
4,0.2,6.925165666,4.466032295,90.3876637,100.5605632
5,0.25,8.514665309,5.694871695,87.57024542,125.700704
6,0.3,10.04686066,6.971929181,84.76191351,150.8408447
7,0.35,11.50599904,8.310458952,81.96516652,175.9809855
8,0.4,12.96513714,9.648988634,79.16841992,201.1211263
9,0.45,14.42427551,10.9875184,76.37167293,226.2612671
10,0.5,15.88341389,12.32604818,73.57492595,251.4014079
11,0.55,17.34255226,13.66457795,70.77817897,276.5415487
12,0.6,18.80169064,15.00310772,67.98143198,301.6816895
13,0.65,20.26082902,16.34163749,65.184685,326.8218303
14,0.7,21.71996739,17.68016726,62.38793801,351.9619711
15,0.75,23.17910577,19.01869703,59.59119103,377.1021119
16,0.8,24.45173811,20.51295074,56.82522668,402.2422527
17,0.85,25.08311577,22.53594746,54.17177594,427.3823935
18,0.9,25.50988336,24.7275432,51.55433662,452.5225342
19,0.95,25.93665096,26.91913894,48.9368973,477.662675
20,1,26.36341856,29.11073468,46.31945798,502.8028158
21,1.05,26.79018616,31.30233042,43.70201866,527.9429566
22,1.1,27.21695375,33.49392616,41.08457933,553.0830974
23,1.15,27.64372135,35.6855219,38.46714001,578.2232382
24,1.2,28.07048895,37.87711764,35.84970069,603.363379
25,1.25,28.49725655,40.06871338,33.23226137,628.5035198
26,1.3,28.92402415,42.26030912,30.61482205,653.6436606
27,1.35,29.35079174,44.45190486,27.99738273,678.7838014
28,1.4,29.77755934,46.6435006,25.37994341,703.9239422
29,1.45,30.20432694,48.83509635,22.76250409,729.064083
30,1.5,30.63109454,51.02669209,20.14506476,754.2042237
31,1.55,31.05786214,53.21828783,17.52762544,779.3443645
32,1.6,31.48462973,55.40988357,14.91018612,804.4845053
33,1.65,31.91139733,57.60147931,12.2927468,829.6246461
34,1.7,32.33816493,59.79307505,9.675307479,854.7647869
35,1.75,32.76493253,61.98467079,7.057868157,879.9049277
36,1.8,33.19170013,64.17626653,4.440428836,905.0450685
37,1.85,33.61846772,66.36786227,1.822989515,930.1852093
38,1.9,34.04662832,67.76345783,0,946.6964114
39,1.95,34.47793781,67.33255386,0,943.4072378
40,2,33.78363273,68.02716125,0,944.2233722
41,2.05,33.82693976,67.98404456,0,945.0939529
42,2.1,33.87024679,67.94092787,0,945.9645336
43,2.15,33.91355383,67.89781119,0,946.8351142
44,2.2,33.95686086,67.8546945,0,947.7056949
45,2.25,34.00016789,67.81157781,0,948.5762756
46,2.3,34.04347492,67.76846113,0,949.4468563
47,2.35,34.08678195,67.72534444,0,950.317437
48,2.4,34.13008899,67.68222775,0,951.1880176
49,2.45,34.17339602,67.63911106,0,952.0585983
50,2.5,34.22155375,67.5910349,0,952.6021007
