,scenario,year,epsilon [%],demand [Mt],region,tech,meoh [Mt],elec [TWh],net-zero GWP [Mt],GWP reduction [Mt]
0,PkBudg500,2040,0.099894,20,CHA,DAC,0,0,0,0
1,PkBudg500,2040,0.099894,20,USA,DAC,0.628684472,0,0,0
2,PkBudg500,2040,0.099894,20,IND,DAC,0.464260449,0,0,0
3,PkBudg500,2040,0.099894,20,LAM,PSC,0.009011508,0,0,0
4,PkBudg500,2040,0.099894,20,SSA,PSC,0.264880064,0,0,0
5,PkBudg500,2040,0.099894,20,CAZ,PSC,0.00753335,0,0,0
6,PkBudg500,2040,0.099894,20,REF,PSC,0.217721323,0,0,0
7,PkBudg500,2040,0.099894,20,SSA,DAC,0,0,0,0
8,PkBudg500,2040,0.099894,20,JPN,PSC,0.010929466,0,0,0
9,PkBudg500,2040,0.099894,20,CHA,PSC,1.624965712,0,0,0
10,PkBudg500,2040,0.099894,20,CAZ,DAC,0.130731746,0,0,0
11,PkBudg500,2040,0.099894,20,JPN,DAC,0.103242977,0,0,0
12,PkBudg500,2040,0.099894,20,REF,DAC,0,0,0,0
13,PkBudg500,2040,0.099894,20,NEU,PSC,0.081785139,0,0,0
14,PkBudg500,2040,0.099894,20,EUR,PSC,0.166247387,0,0,0
15,PkBudg500,2040,0.099894,20,MEA,PSC,0.455200619,0,0,0
16,PkBudg500,2040,0.099894,20,NEU,DAC,0,0,0,0
17,PkBudg500,2040,0.099894,20,LAM,DAC,0.354390458,0,0,0
18,PkBudg500,2040,0.099894,20,EUR,DAC,0.390841512,0,0,0
19,PkBudg500,2040,0.099894,20,USA,PSC,0.03976961,0,0,0
20,PkBudg500,2040,0.099894,20,IND,PSC,0.012934686,0,0,0
21,PkBudg500,2040,0.099894,20,OAS,PSC,0.752473532,0,0,0
22,PkBudg500,2040,0.099894,20,MEA,DAC,0,0,0,0
23,PkBudg500,2040,0.099894,20,OAS,DAC,0,0,0,0
24,PkBudg500,2040,0.099894,20,methanol production,BAU,16.05472327,50.22707405,11.77167581,11.77186619
25,PkBudg500,2040,0.150455,30,SSA,PSC,0.39878265,0,0,0
26,PkBudg500,2040,0.150455,30,USA,DAC,0.963439718,0,0,0
27,PkBudg500,2040,0.150455,30,EUR,DAC,0.657949165,0,0,0
28,PkBudg500,2040,0.150455,30,CAZ,DAC,0.200052681,0,0,0
29,PkBudg500,2040,0.150455,30,CHA,DAC,0,0,0,0
30,PkBudg500,2040,0.150455,30,OAS,DAC,0,0,0,0
31,PkBudg500,2040,0.150455,30,MEA,DAC,0,0,0,0
32,PkBudg500,2040,0.150455,30,LAM,DAC,0.537581816,0,0,0
33,PkBudg500,2040,0.150455,30,IND,PSC,0.012941219,0,0,0
34,PkBudg500,2040,0.150455,30,REF,PSC,0.300797139,0,0,0
35,PkBudg500,2040,0.150455,30,USA,PSC,0.039789698,0,0,0
36,PkBudg500,2040,0.150455,30,OAS,PSC,1.133337089,0,0,0
37,PkBudg500,2040,0.150455,30,IND,DAC,0.704727813,0,0,0
38,PkBudg500,2040,0.150455,30,EUR,PSC,0.166355361,0,0,0
39,PkBudg500,2040,0.150455,30,MEA,PSC,0.685602275,0,0,0
40,PkBudg500,2040,0.150455,30,NEU,PSC,0.123201258,0,0,0
41,PkBudg500,2040,0.150455,30,NEU,DAC,0,0,0,0
42,PkBudg500,2040,0.150455,30,JPN,PSC,0.010934986,0,0,0
43,PkBudg500,2040,0.150455,30,LAM,PSC,0.00901606,0,0,0
44,PkBudg500,2040,0.150455,30,REF,DAC,0.0225139,0,0,0
45,PkBudg500,2040,0.150455,30,JPN,DAC,0.160039403,0,0,0
46,PkBudg500,2040,0.150455,30,CHA,PSC,2.447387868,0,0,0
47,PkBudg500,2040,0.150455,30,SSA,DAC,0,0,0,0
48,PkBudg500,2040,0.150455,30,CAZ,PSC,0.007537155,0,0,0
49,PkBudg500,2040,0.150455,30,methanol production,BAU,23.19010737,75.64933257,17.65751372,17.65779116
50,PkBudg500,2040,0.201293,40,LAM,PSC,0.009020636,0,0,0
51,PkBudg500,2040,0.201293,40,OAS,PSC,1.516281136,0,0,0
52,PkBudg500,2040,0.201293,40,CAZ,DAC,0.269757982,0,0,0
53,PkBudg500,2040,0.201293,40,SSA,DAC,0,0,0,0
54,PkBudg500,2040,0.201293,40,EUR,DAC,0.92651303,0,0,0
55,PkBudg500,2040,0.201293,40,EUR,PSC,0.16646382,0,0,0
56,PkBudg500,2040,0.201293,40,MEA,PSC,0.917265216,0,0,0
57,PkBudg500,2040,0.201293,40,REF,DAC,0.114241805,0,0,0
58,PkBudg500,2040,0.201293,40,IND,PSC,0.012947789,0,0,0
59,PkBudg500,2040,0.201293,40,USA,PSC,0.039809895,0,0,0
60,PkBudg500,2040,0.201293,40,MEA,DAC,0,0,0,0
61,PkBudg500,2040,0.201293,40,NEU,PSC,0.164856854,0,0,0
62,PkBudg500,2040,0.201293,40,LAM,DAC,0.721788576,0,0,0
63,PkBudg500,2040,0.201293,40,OAS,DAC,0,0,0,0
64,PkBudg500,2040,0.201293,40,SSA,PSC,0.533415694,0,0,0
65,PkBudg500,2040,0.201293,40,CHA,DAC,0,0,0,0
66,PkBudg500,2040,0.201293,40,JPN,PSC,0.010940537,0,0,0
67,PkBudg500,2040,0.201293,40,REF,PSC,0.300998029,0,0,0
68,PkBudg500,2040,0.201293,40,USA,DAC,1.300060373,0,0,0
69,PkBudg500,2040,0.201293,40,NEU,DAC,0,0,0,0
70,PkBudg500,2040,0.201293,40,JPN,DAC,0.217146957,0,0,0
71,PkBudg500,2040,0.201293,40,CAZ,PSC,0.007540981,0,0,0
72,PkBudg500,2040,0.201293,40,CHA,PSC,3.274323758,0,0,0
73,PkBudg500,2040,0.201293,40,IND,DAC,0.946509472,0,0,0
74,PkBudg500,2040,0.201293,40,methanol production,BAU,30.32398465,101.2104585,23.54335163,23.54356427
75,PkBudg500,2040,0.25213,50,SSA,PSC,0.668048813,0,0,0
76,PkBudg500,2040,0.25213,50,NEU,PSC,0.206512525,0,0,0
77,PkBudg500,2040,0.25213,50,OAS,PSC,1.899225277,0,0,0
78,PkBudg500,2040,0.25213,50,USA,PSC,0.039830093,0,0,0
79,PkBudg500,2040,0.25213,50,MEA,PSC,1.148928225,0,0,0
80,PkBudg500,2040,0.25213,50,SSA,DAC,0,0,0,0
81,PkBudg500,2040,0.25213,50,REF,PSC,0.301198918,0,0,0
82,PkBudg500,2040,0.25213,50,CHA,DAC,0,0,0,0
83,PkBudg500,2040,0.25213,50,CAZ,DAC,0.339463313,0,0,0
84,PkBudg500,2040,0.25213,50,OAS,DAC,0,0,0,0
85,PkBudg500,2040,0.25213,50,NEU,DAC,0,0,0,0
86,PkBudg500,2040,0.25213,50,CAZ,PSC,0.007544807,0,0,0
87,PkBudg500,2040,0.25213,50,EUR,DAC,1.195076881,0,0,0
88,PkBudg500,2040,0.25213,50,USA,DAC,1.636681023,0,0,0
