S2,S3,Objective
-0.1,-0.1,-0.101
-0.085858586,-0.1,-0.086858586
-0.071717172,-0.1,-0.072717172
-0.057575758,-0.1,-0.058575758
-0.043434343,-0.1,-0.044434343
-0.029292929,-0.1,-0.030292929
-0.015151515,-0.1,-0.016151515
-0.001010101,-0.1,-0.002010101
0.013131313,-0.1,0.012131313
0.027272727,-0.1,0.026272727
0.041414141,-0.1,0.040414141
0.055555556,-0.1,0.054555556
0.06969697,-0.1,0.06869697
0.083838384,-0.1,0.082838384
0.097979798,-0.1,0.096979798
0.112121212,-0.1,0.111121212
0.126262626,-0.1,0.125262626
0.14040404,-0.1,0.13940404
0.154545455,-0.1,0.153545455
0.168686869,-0.1,0.167686869
0.182828283,-0.1,0.181828283
0.196969697,-0.1,0.195969697
0.211111111,-0.1,0.210111111
0.225252525,-0.1,0.224252525
0.239393939,-0.1,0.238393939
0.253535354,-0.1,0.252535354
0.267676768,-0.1,0.266676768
0.281818182,-0.1,0.280818182
0.295959596,-0.1,0.294959596
0.31010101,-0.1,0.30910101
0.324242424,-0.1,0.323242424
0.338383838,-0.1,0.337383838
0.352525253,-0.1,0.351525253
0.366666667,-0.1,0.365666667
0.380808081,-0.1,0.379808081
0.394949495,-0.1,0.393949495
0.409090909,-0.1,0.408090909
0.423232323,-0.1,0.422232323
0.437373737,-0.1,0.436373737
0.451515152,-0.1,0.450515152
0.465656566,-0.1,0.464656566
0.47979798,-0.1,0.47879798
0.493939394,-0.1,0.492939394
0.508080808,-0.1,0.507080808
0.522222222,-0.1,0.521222222
0.536363636,-0.1,0.535363636
0.550505051,-0.1,0.549505051
0.564646465,-0.1,0.563646465
0.578787879,-0.1,0.577787879
0.592929293,-0.1,0.591929293
0.607070707,-0.1,0.606070707
0.621212121,-0.1,0.620212121
0.635353535,-0.1,0.634353535
0.649494949,-0.1,0.648494949
0.663636364,-0.1,0.662636364
0.677777778,-0.1,0.676777778
0.691919192,-0.1,0.690919192
0.706060606,-0.1,0.705060606
0.72020202,-0.1,0.71920202
0.734343434,-0.1,0.733343434
0.748484848,-0.1,0.747484848
0.762626263,-0.1,0.761626263
0.776767677,-0.1,0.775767677
0.790909091,-0.1,0.789909091
0.805050505,-0.1,0.804050505
0.819191919,-0.1,0.818191919
0.833333333,-0.1,0.832333333
0.847474747,-0.1,0.846474747
0.861616162,-0.1,0.860616162
0.875757576,-0.1,0.874757576
0.88989899,-0.1,0.88889899
0.904040404,-0.1,0.903040404
0.918181818,-0.1,0.917181818
0.932323232,-0.1,0.931323232
0.946464646,-0.1,0.945464646
0.960606061,-0.1,0.959606061
0.974747475,-0.1,0.973747475
0.988888889,-0.1,0.987888889
1.003030303,-0.1,1.002030303
1.017171717,-0.1,1.016171717
1.031313131,-0.1,1.030313131
1.045454545,-0.1,1.044454545
1.05959596,-0.1,1.05859596
1.073737374,-0.1,1.072737374
1.087878788,-0.1,1.086878788
1.102020202,-0.1,1.101020202
1.116161616,-0.1,1.115161616
1.13030303,-0.1,1.12930303
1.144444444,-0.1,1.143444444
1.158585859,-0.1,1.157585859
1.172727273,-0.1,1.171727273
1.186868687,-0.1,1.185868687
1.201010101,-0.1,1.200010101
1.215151515,-0.1,1.214151515
1.229292929,-0.1,1.228292929
1.243434343,-0.1,1.242434343
1.257575758,-0.1,1.256575758
1.271717172,-0.1,1.270717172
1.285858586,-0.1,1.284858586
1.3,-0.1,1.299
-0.1,-0.085858586,-0.100858586
-0.085858586,-0.085858586,-0.086717172
-0.071717172,-0.085858586,-0.072575758
-0.057575758,-0.085858586,-0.058434343
-0.043434343,-0.085858586,-0.044292929
-0.029292929,-0.085858586,-0.030151515
-0.015151515,-0.085858586,-0.016010101
-0.001010101,-0.085858586,-0.001868687
0.013131313,-0.085858586,0.012272727
0.027272727,-0.085858586,0.026414141
0.041414141,-0.085858586,0.040555556
0.055555556,-0.085858586,0.05469697
0.06969697,-0.085858586,0.068838384
0.083838384,-0.085858586,0.082979798
0.097979798,-0.085858586,0.097121212
0.112121212,-0.085858586,0.111262626
0.126262626,-0.085858586,0.12540404
0.14040404,-0.085858586,0.139545455
0.154545455,-0.085858586,0.153686869
0.168686869,-0.085858586,0.167828283
0.182828283,-0.085858586,0.181969697
0.196969697,-0.085858586,0.196111111
0.211111111,-0.085858586,0.210252525
0.225252525,-0.085858586,0.224393939
0.239393939,-0.085858586,0.238535354
0.253535354,-0.085858586,0.252676768
0.267676768,-0.085858586,0.266818182
0.281818182,-0.085858586,0.280959596
0.295959596,-0.085858586,0.29510101
0.31010101,-0.085858586,0.309242424
0.324242424,-0.085858586,0.323383838
0.338383838,-0.085858586,0.337525253
0.352525253,-0.085858586,0.351666667
0.366666667,-0.085858586,0.365808081
0.380808081,-0.085858586,0.379949495
0.394949495,-0.085858586,0.394090909
0.409090909,-0.085858586,0.408232323
0.423232323,-0.085858586,0.422373737
0.437373737,-0.085858586,0.436515152
0.451515152,-0.085858586,0.450656566
0.465656566,-0.085858586,0.46479798
0.47979798,-0.085858586,0.478939394
0.493939394,-0.085858586,0.493080808
0.508080808,-0.085858586,0.507222222
