,Biomass CCS,Biomass,Solar,Wind,Geothermal,Hydro,Nuclear,Coal CCS,Gas CCS,Coal,Gas,Oil
2005,0,0.8512264,0.013955,0.3932954,0.2178749,10.7179311,10.3783996,0,0,26.8346743,13.8385286,3.8950205
2010,0,1.1822644,0.2590422,1.4810254,0.3327168,11.6138853,9.5260676,0,0,29.5068176,17.3191476,3.5728427
2015,0,1.6485743,0.8026212,2.3915437,0.4834738,14.8241757,9.7136932,0,0,31.559929,19.8243481,2.8521368
2020,0,2.0070742,3.1600161,4.9708353,0.7556115,16.2909473,10.1126307,0.0000077,0,34.9632329,20.3442658,2.0112989
2025,0,2.1014611,9.2964458,8.91639,1.0698766,18.9523721,10.2496019,0.0000154,0,31.9819371,22.1979171,1.2832535
2030,0,2.1499304,20.5518885,13.4239538,1.3434138,19.8073871,9.9672963,0.0000198,0,28.0906787,24.2042644,0.4397177
2035,0,2.0596358,34.120054,18.0449024,1.4514628,20.4687574,9.1839494,0.0000308,0,23.6691696,26.4106608,0.0000097
2040,0,1.8194219,47.2406213,21.718919,1.4552747,20.9604673,8.153492,0.0000374,0,20.4334013,26.7980818,0.0000097
2045,0,1.4720655,58.6625553,26.3592465,1.4587383,21.3250306,7.0645523,0.0000374,0,15.8125597,26.2864457,0.0000097
2050,0,1.1026381,68.7223241,32.2546039,1.4400661,21.5933267,6.2271401,0.0000373,0,12.0255812,25.4880522,0.0000096
2055,0,0.770515,77.9779088,39.5965302,1.4007493,21.7777926,5.5954911,0.0000365,0,7.7023584,24.3741601,0.0000108
2060,0,0.4622275,87.3400027,47.6700866,1.3469965,21.9037143,4.9966665,0.0000359,0,3.7076209,22.8575681,0.0000096
2070,0,0.1174193,107.6665792,65.0978228,1.2591774,21.9516456,3.6870621,0.0000318,0,0.2978583,17.6110178,0.0000096
2080,0,0.0052044,133.5178311,80.4379592,1.1708001,21.8048571,1.9883309,0.0000283,0,0.0112727,13.3566788,0.0000096
2090,0,0.0000468,155.0088619,93.4318775,1.0049464,21.6539744,0.8682,0.0000264,0,0.000066,9.4317188,0.0000096
2100,0,0.0000272,166.9214362,99.2653926,0.8298752,20.9956162,0.292129,0.0000203,0,0.0000236,5.3432532,0.000007
