,Biomass CCS,Biomass,Solar,Wind,Geothermal,Hydro,Nuclear,Coal CCS,Gas CCS,Coal,Gas,Oil
2005,0,0.8512264,0.013955,0.3932954,0.2178749,10.7179311,10.3783996,0,0,26.8346743,13.8385286,3.8950205
2010,0,1.1822644,0.2590422,1.4810254,0.3327168,11.6138853,9.5260676,0,0,29.5068176,17.3191476,3.5728427
2015,0,1.6828095,0.8027888,2.3881494,0.5216395,14.9103571,9.7136932,0,0,31.3903613,19.5085879,2.8521368
2020,0.0020319,2.1927118,3.2496947,5.361988,0.8839117,16.5058129,10.1160476,0.0000154,0.0000054,34.3032527,18.6128219,2.0112989
2025,0.055456,2.5399786,16.8501457,12.711542,1.2428198,19.3040165,10.7330332,0.0000308,0.0000133,13.938151,17.491515,1.2832535
2030,0.2378555,2.6657072,43.9736578,23.8902758,1.4337517,20.4022177,11.6946542,0.0000396,0.0000194,4.8852185,12.4109531,0.4397176
2035,0.531465,2.5034967,68.7980433,37.96643,1.4606403,21.1288299,12.4652928,0.0000616,0.0000338,1.209411,5.9597503,0.0000096
2040,0.7715471,2.2425908,89.0383259,50.0290243,1.4398743,21.5113622,12.6282153,0.0000748,0.000044,0.0046095,1.1551039,0.0000096
2045,0.873538,1.8743919,108.1053291,62.1253104,1.4108114,21.6597407,12.0967275,0.0000748,0.0000435,0.0033425,0.2984811,0.0000096
2050,0.8970558,1.4684657,126.9485382,75.0536684,1.3466342,21.6732747,11.460068,0.0000746,0.0000423,0.0020925,0.066901,0.0000096
2055,0.8767513,1.0778634,147.9911979,89.1827493,1.2843773,21.598738,10.8315029,0.000073,0.0000402,0.0011452,0.0461969,0.0000108
2060,0.82371,0.6817356,169.661326,103.8619177,1.2160414,21.4606379,10.115756,0.0000716,0.0000367,0.0005003,0.0256817,0.0000096
2070,0.6000644,0.1109565,218.0842468,130.2912398,1.018391,21.0185004,8.2465889,0.0000636,0.0000281,0.0000663,0.0001805,0.0000096
2080,0.2407383,0.0000497,263.7726659,144.5192732,0.7450236,20.4754411,5.3481532,0.0000569,0.0135865,0.0000711,0.0000469,0.0000096
2090,0.1019689,0.0000468,291.1246833,152.6656522,0.5059484,20.0935627,2.3121996,0.0000528,0.0506927,0.000066,0.000042,0.0000096
2100,0.2785609,0.000034,311.6660889,158.2717989,0.4801816,19.463166,0.5802019,0.0000407,0.0855805,0.000006,0.0000014,0.0000071
